role,role_def,example_task
Conceptualization,Ideas; formulation or evolution of overarching research goals and aims.,"Identifying issues, questions or problems that warrant research."
Conceptualization,Ideas; formulation or evolution of overarching research goals and aims.,Developing research questions and hypotheses.
Conceptualization,Ideas; formulation or evolution of overarching research goals and aims.,"Developing research frameworks, tools or experimental paradigms."
Conceptualization,Ideas; formulation or evolution of overarching research goals and aims.,Refining and adapting overarching research goals and aims.
Data Curation,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.","Conducting tasks like data processing, cleaning, cataloging, annotating, archiving, modeling, and retention."
Data Curation,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.",Integrating and aggregating data in diverse formats and from diverse sources.
Data Curation,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.","Managing and updating data descriptions and metadata, including maintaining version control and associated documentation."
Data Curation,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.","Developing or implementing data preservation strategies to ensure data remains findable, accessible, interoperable and reusable."
Formal Analysis,"Application of statistical, mathematical, computational, or other formal techniques to analyse or synthesize study data.",Uncovering patterns and identifying relationships between variables and quantitative or qualitative datasets.
Formal Analysis,"Application of statistical, mathematical, computational, or other formal techniques to analyse or synthesize study data.",Performing statistical tests to compare different groups within a study or evaluate change.
Formal Analysis,"Application of statistical, mathematical, computational, or other formal techniques to analyse or synthesize study data.",Applying AI and machine learning models to predict outcomes.
Formal Analysis,"Application of statistical, mathematical, computational, or other formal techniques to analyse or synthesize study data.",Developing computational simulations to model complex systems or phenomena.
Funding Acquisition,Acquisition of the financial support for the project leading to this publication.,"Identifying suitable funding sources, assessing eligibility and communicating requirements with team members."
Funding Acquisition,Acquisition of the financial support for the project leading to this publication.,Developing grant proposals and coordinating the submission process.
Funding Acquisition,Acquisition of the financial support for the project leading to this publication.,Developing budgets and allocating funds to match project scope and funder expectations.
Investigation,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",Following or modifying methods to collect or generate data through quantitative and/or qualitative research approaches.
Investigation,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",Testing research hypotheses and documenting the research process.
Investigation,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.","Searching and reviewing the literature, samples, data and other evidence."
